Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
3;4;500592532;Bugrohrabdeckung li;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;5;500592533;Bugrohrabdeckung re;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;3,900;KG;86;SP;1;PD;F;ROH;1;48;PK40;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l; 0,078;KG;86;SP;1;PD;F;ROH;1;48;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207; 0,240;KG;86;SP;1;PD;F;ROH;1;88;PK40;W-VIE001M;W09;
3;1;500546973;Klebstoff Sikaflex-268 schwarz 600ml;2,600;KG;86;SP;1;PD;F;ROH;1;48;PK40;W-VIE001M;W09;
3;3;500050017;Sika Aktivator 100; 0,100;KG;86;SP;1;PD;F;ROH;1;88;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207; 0,160;KG;86;SP;1;PD;F;ROH;1;88;PK40;W-VIE001M;W09;
3;1;500546976;Klebstoff Sikaflex-268 PowerCure schwarz;9,100;KG;86;SP;1;PD;F;ROH;1;48;PK40;74287;W09;
3;4;500539443;Haftvermittler Sika Primer-207; 0,560;KG;86;SP;1;PD;F;ROH;1;88;PK40;74287;W09;
2;4;584950CM7;Anbau Bodenplatten CM1 7 2300;1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-BRU001;;
3;1;500594121;Bodenplatte Fahrerstand CM 2300;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;2;500594124;Bodenplatte Fahrgastraum CM 2300;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;3;500594126;Bodenplatte Tuersaeule li CM 2300;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;4;500594127;Bodenplatte Tuersaeule re CM 2300;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;5;500597884;Abdeckung Kabelkanal CM1 7;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W05;
3;6;500237719;Elastikp. 3M Bumpon SJ5744 4,0mm skl.;30;ST;86;SP;1;ND;F;ROH;;88;PK40;W-BRU001;W02;X
3;7;500596512;Elastikp. 3M Bumpon SJ61A1 5,1mm skl.;30;ST;86;SP;1;ND;F;ROH;;88;PK40;W-BRU001;W10;X
3;8;500596511;Elastikp. 3M Bumpon SJ6148 6,2mm skl.;30;ST;86;SP;1;ND;F;ROH;;88;PK40;W-BRU001;W10;X
3;9;500596510;Elastikp. 3M Bumpon SJ61A4 7,9mm skl.;30;ST;86;SP;1;ND;F;ROH;;88;PK40;W-BRU001;W10;X
3;1;500538717;Klebstoff SikaForce-7818 L7 Harz+Härter;1,250;KG;86;SP;1;PD;F;ROH;1;88;PK40;71219;W09;
3;4;500050017;Sika Aktivator 100; 0,065;KG;86;SP;1;PD;F;ROH;1;88;PK40;71219;W09;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;11,700;KG;86;SP;1;PD;F;ROH;1;48;PK40;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l; 0,234;KG;86;SP;1;PD;F;ROH;1;48;PK40;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207; 0,720;KG;86;SP;1;PD;F;ROH;1;88;PK40;W-VIE001M;W09;
3;1;500098888;Plexus MA 420-2K-MMA; 0,000;KG;86;SP;1;PD;F;ROH;1;88;PK40;70887;W09;
3;1;500546976;Klebstoff Sikaflex-268 PowerCure schwarz;1,300;KG;86;SP;1;PD;F;ROH;1;48;PK40;74287;W09;
3;4;500539443;Haftvermittler Sika Primer-207; 0,080;KG;86;SP;1;PD;F;ROH;1;88;PK40;74287;W09;
3;14;500594260;Klebeauflage CM1 7;2;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W05;
2;5;584945CM7;Anbau Bodenbelag CM1 7 2300;1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-BRU001;;
3;1;500593234;Bodenbelag Noraplan stone 1146 3mm;1,600;M2;86;SP;1;PD;F;ROH;1;88;PK40;W-BRU001;W06;
3;2;500594106;Zuschnitt Bodenbelag FST 2;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;3;500594107;Zuschnitt Bodenbelag FST 1;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;4;500594108;Zuschnitt Bodenbelag Stufe CM;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W06;
3;5;500594141;Trittwinkel Stufe Fahrerstand;1;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W05;
3;6;500594199;Trittwinkel Einstieg CM1 7;2;ST;86;SP;1;PD;F;ROH;;88;PK40;W-BRU001;W05;
3;7;500999005;n.a.;1;ST;86;SP;100;PD;E;HALB;;;PK40;W-BRU001;;X
3;8;500527949;Antirutschbelag Safety Walk 35x18300;1,600;M;86;SP;1;PD;F;ROH;1;88;PK40;W-BRU001;W02;
3;1;500300643;Klebstoff SikaSense4300FD;3,000;KG;86;SP;1;PD;F;ROH;1;88;PK40;76631;W09;
3;2;500300644;SikaCure-4901 dunkelblau (Vernetzer); 0,150;KG;86;SP;1;PD;F;ROH;1;88;PK40;76631;W09;
3;1;500098888;Plexus MA 420-2K-MMA; 0,000;KG;86;SP;1;PD;F;ROH;1;88;PK40;70887;W09;
3;1;500421553;Klebstoff Terostat MS 935 schwarz;1,000;KG;86;SP;1;PD;F;ROH;1;88;PK40;70887;W09;
3;12;500594328;1K-Fugenmasse Farbe 1253; 0,100;L;86;SP;1;PD;F;ROH;1;88;PK40;W-BRU001;W09;
3;1;500538717;Klebstoff SikaForce-7818 L7 Harz+Härter; 0,000;KG;86;SP;1;PD;F;ROH;1;88;PK40;71219;W09;
3;4;500050017;Sika Aktivator 100; 0,000;KG;86;SP;1;PD;F;ROH;1;88;PK40;71219;W09;
3;1;500287173;Primer 3M 94; 0,020;KG;86;SP;1;PD;F;ROH;1;88;PK40;W-FIN001;W09;
3;2;700032707;Safety Walk Kantenschutzversiegelung; 0,040;KG;86;SP;1;PD;F;ROH;1;88;PK40;W-FIN001;W09;
